Anchor_1,Anchor_2,Anchor_3,Anchor_4
3.0230646818889725e-06,7.306917891920431e-07,3.232177150577719e-06,1.3210159758973568e-06
1.7410805113865512e-06,2.1480066378545265e-06,2.008955837492438e-06,2.1128262987179564e-06
1.637653195020046e-06,2.475269533584233e-06,1.5790962343549055e-06,1.7014340141643441e-06
3.253333153082319e-06,3.6163096268327944e-07,3.39132209160204e-06,6.908884416101733e-07
2.0842426716468085e-06,1.5966334368412617e-06,2.3296524304372887e-06,1.6720916806959002e-06
3.6067604047657913e-06,5.268892216631771e-07,3.7508264865493355e-06,1.0563492056617138e-06
7.651533458220385e-07,3.1987540236256295e-06,1.0129650373472306e-06,2.863305181035125e-06
1.569301462482739e-06,2.3847826631624155e-06,1.5298397658750264e-06,1.6225838487052936e-06
1.8506591966182889e-06,1.3335973974967999e-06,1.9919793241602943e-06,8.189846388987404e-07
9.833181781074733e-07,2.2158886324604883e-06,1.105475159575089e-06,1.6593158845577114e-06
2.1015366870708296e-07,2.9417953591787415e-06,4.3469882845737157e-07,2.438290413035692e-06
1.4984069306852408e-06,1.826542275168264e-06,1.5858449535027488e-06,1.1768525289398856e-06
2.4176048936364735e-06,1.0517196708215496e-06,2.634706646090235e-06,1.249642898665936e-06
2.0565930184118446e-06,1.2873275398249281e-06,2.161564808285956e-06,5.955801636002786e-07
2.0769520161681518e-07,3.1826915538274082e-06,1.3267415664838765e-07,2.6284288319037483e-06
3.1004590790549667e-07,2.845794123238285e-06,5.377697687385426e-07,2.3549879759132684e-06
3.4652094477265797e-06,3.63017982204904e-07,3.6149443079479804e-06,9.589943104344836e-07
2.6442095383031994e-06,2.6968079748794244e-06,2.9207074676362873e-06,2.9207458743988725e-06
1.1256304049197116e-06,2.711819445121358e-06,1.0483866241683075e-06,2.003968181998404e-06
1.1950168623970695e-06,2.317199893409297e-06,1.459741416801853e-06,2.080320075877872e-06
2.2094356193777823e-06,1.3510515854506187e-06,2.2871887014101536e-06,5.652555663418137e-07
3.415898972538313e-06,4.256495436868568e-07,3.5550471535946774e-06,8.493587916305962e-07
2.312785587724221e-06,8.508128699170548e-07,2.4668777864764524e-06,5.243716269901562e-07
1.8231381649820378e-06,1.357188655749965e-06,1.9659542138334467e-06,8.483572450808239e-07
4.622357692483173e-07,2.703197943138315e-06,6.184376037014679e-07,2.179043580359735e-06
2.5489912734140412e-06,2.724427751970567e-06,2.8255571192705856e-06,2.9175366710933186e-06
2.878465696122823e-06,2.592930517357164e-06,3.1539685272931916e-06,2.8978947253742044e-06
2.7963196273394607e-06,1.4563136146749542e-06,3.042390117308939e-06,1.8654684343435058e-06
1.882416938577162e-06,2.354559108955822e-06,1.8352935484961308e-06,1.5589967700488551e-06
2.1456628951459025e-06,1.9497432392055978e-06,2.147059171352179e-06,1.1427225667734404e-06
1.0500564250654061e-06,2.223454180467469e-06,1.135974833570467e-06,1.6202568740346568e-06
1.101398728154711e-06,2.8646937364447804e-06,1.3752430535123573e-06,2.6310335794163165e-06
1.9455500663751238e-06,1.251083370606438e-06,2.0831811110186915e-06,7.211177297788325e-07
2.9187412154365106e-06,3.28521728683215e-07,3.0651148949407463e-06,4.806578346287149e-07
3.5543194111958524e-06,4.134578405133656e-07,3.7100047328286797e-06,1.0816792570768233e-06
5.781488875804256e-07,3.095921874445955e-06,8.393923771148508e-07,2.7202181867113945e-06
3.2317443921611044e-06,5.89478831909957e-07,3.3518674711043078e-06,5.990550927093524e-07
2.160391118513596e-06,1.9032733524058812e-06,2.422607511596173e-06,2.029731578639779e-06
4.321079734529899e-07,3.418054834179512e-06,5.904599069040217e-07,2.9741294353164407e-06
9.511184356074268e-07,2.690189628628546e-06,8.997822628529861e-07,2.0164534214461217e-06
