Anchor 1,Anchor 2,Anchor 3,Anchor 4
-182.69643899030126,-110.84729299250753,-132.9794917928006,-126.35115214399724
-128.71384900639043,-144.25573483567916,-122.57612668734951,-125.72801823144479
-125.5874218400452,-146.513471518474,-127.13205522722537,-165.1975419831702
-146.63835213410744,-103.58825455984348,-153.3420602545635,-111.6858114085432
-131.35189131758796,-127.41898738890313,-137.6700584344614,-128.52391152057638
-135.14025042206563,-89.45255929515112,-141.6170407802362,-122.09757706605797
-114.45342076946001,-178.0913126762387,-115.61750627404864,-168.30106080052641
-136.15501947596027,-136.84002915493232,-158.81492155647416,-128.20223202547763
-137.32155143537136,-121.4380182102526,-116.0191494427441,-115.3790809385539
-122.69586867557277,-132.37374179814847,-124.01038501316064,-137.32625876211114
-92.45806443122305,-136.7852798214709,-127.58182057144295,-130.13132807436682
-122.31631064210653,-131.33677002242382,-119.1282005496664,-147.55821152234756
-129.67696451896097,-122.23115904214508,-137.0358381826901,-122.77553414319223
-134.6222437576893,-120.268636356904,-124.82848129169668,-116.83196170851102
-95.19482583553267,-133.34855370270665,-87.46919328973678,-139.50079850693618
-95.79247037772213,-166.30317121909397,-114.95062673754444,-150.83112209617536
-139.37957139147426,-126.42593271617119,-168.4504781899111,-120.69599527896867
-139.80981545917464,-134.19154650972763,-156.0900014716507,-164.55984421020423
-136.77387522665828,-123.39198673526751,-127.07507395720404,-153.87315996496207
-109.08983500690995,-132.87092890634273,-117.1944627236243,-143.43027498961476
-138.7006949851573,-116.09456252698972,-128.02028413701953,-110.05820638095734
-140.59312346289346,-91.19225268426469,-164.4819098415541,-118.2421002808825
-126.78587289635765,-115.34441796675203,-160.4364713910464,-104.998464538188
-129.92669829405818,-118.44693430240397,-147.44925447782882,-129.20083959149457
-102.51964723974977,-137.00719595946552,-103.80338697836527,-125.41436413170722
-147.20174784537883,-148.1558611311872,-126.17335645464159,-141.89582292153295
-140.18179098543007,-138.77409840858556,-146.408213565585,-157.35261704079426
-152.26174304717907,-142.34388719455268,-137.58132414260947,-140.26526838329835
-144.2725597072876,-149.7018984085665,-134.34772111811174,-121.65074094422943
-154.70748012701463,-140.46672029551564,-143.66443736671008,-118.77032706104056
-147.97939675710978,-133.4600203152086,-146.43729949162545,-135.3646808655545
-160.24854244290879,-159.20013234368406,-124.77866002825944,-150.9560504960117
-135.0464680154312,-131.87721714760661,-136.63772986494618,-130.42534540661475
-149.75468783658428,-116.69275351210483,-159.31591669393535,-124.7889726865514
-136.12665920857353,-114.366721756672,-142.9128464426212,-124.98642860902237
-110.35323577848446,-150.28910900492315,-133.40118537429498,-142.56536446279938
-159.85316500883496,-121.52690283112362,-147.4232573671187,-119.26851526174194
-127.42633979359756,-126.76773527425595,-153.67906277911425,-146.19312756458461
-114.78094853629983,-141.01013863846765,-110.71932792457385,-143.05054738682978
-120.9724976694518,-139.88721787613812,-121.16663469461015,-145.9536865446654
-128.78446135835026,-136.39844308074083,-130.0551694590115,-148.2746154960185
-149.16720685777932,-141.99323287803082,-137.3849689658186,-146.68112910100152
-120.86677821615663,-132.83805740474378,-145.54422294608264,-120.856175463232
-134.97568796498035,-169.33625537141876,-124.62227044239407,-131.4893329846059
-134.20882542845317,-128.98971261983635,-146.19165964274347,-132.1037260298961
-166.55526134169827,-118.97772491937188,-144.61775600471702,-92.95422996128201
-154.19980619860587,-128.49573217596568,-131.77663078735827,-158.58002151292865
-127.20362470182593,-146.07892069841222,-140.15671675969543,-136.41030673989889
-130.24966767679345,-130.96274051097956,-145.52111520114263,-129.70535964350438
-162.2195990997576,-164.72878219436396,-143.28264056676565,-127.089893677845
-153.30344869566147,-113.33057119139202,-133.6657785765152,-137.8773329525892
-139.3869168272227,-133.7316316085436,-129.95176712436833,-122.63866874904323
-127.71481972821925,-140.7587140576047,-118.77257191271421,-141.43822285529131
-148.18234809241073,-131.1987532932379,-148.3099435514652,-132.76374397669372
-122.74372488850138,-132.71379456266254,-144.08661844168316,-137.8361512748662
-135.47739330024234,-147.70579724955283,-133.68253602000067,-125.60106696025629
-138.0108913019171,-164.85031090315823,-134.88901730518862,-158.56973190697184
-136.26282733304427,-129.40104700602265,-131.84148832261224,-142.07759996335287
-106.29244425213922,-149.56181350882542,-110.42826124951725,-131.28711227947792
-136.43781364462978,-148.6508372200018,-130.28965153073565,-126.45088424942801
-130.49812721820862,-139.15109509687016,-170.34462411114598,-158.39145300953118
-127.4071368568454,-139.13045308648208,-125.2127210607003,-137.6836545410623
-126.97649548610431,-123.90577397272016,-127.53411640699535,-115.16573347699372
-151.4345821474323,-144.0601368067723,-166.72583048689862,-138.75360484612955
-142.40047532246948,-119.54261843884329,-134.82410683919747,-108.07665642461167
-129.72013442096926,-133.759383991592,-137.90172885251872,-130.06740458599708
-135.07678126748138,-143.2511145880749,-138.4611582978094,-118.26636718966326
-149.8812558752673,-140.37865776139535,-150.33537165237493,-133.53370861408507
-136.37943249800165,-118.89792566183306,-140.2248084284811,-116.58425326556097
-132.68535572136935,-108.28789370887137,-154.9978156365613,-130.03147137499565
-136.52469965489817,-184.72267597960925,-130.51893130707222,-135.61499254508695
-114.45233046251366,-131.75857450106545,-140.71584449003248,-135.91666771395253
-141.24194948136022,-171.63820164021772,-115.03879306193963,-166.92743313571438
-129.38150295383753,-132.07256442619146,-129.69523479938977,-129.51019984559673
-158.4343964577995,-122.09413754441161,-127.79065288663145,-132.31552534638234
-119.84902846370629,-130.03367207596892,-116.70067077529187,-134.02643633382888
-148.01158690979656,-118.5855425989985,-153.37730391889838,-114.85734460326505
