Anchor_1,Anchor_2,Anchor_3,Anchor_4
2.978923657713345e-06,2.0205464580192024e-06,2.8303398665928534e-06,2.1405743786193906e-06
2.5799309184247716e-06,1.8712125170005291e-06,2.2934473770850753e-06,2.9270246102822252e-06
1.4480893245263024e-06,2.3734793535330524e-06,1.2882557773805836e-06,1.1940556488179109e-06
2.9286943805493156e-06,-2.5033917069784875e-07,3.408363825731653e-06,3.0590182608085243e-07
2.2011356275421826e-06,8.186856137394481e-07,2.495092546544517e-06,2.0888561615003624e-06
2.6098925834800636e-06,7.139175065869632e-07,4.364660982785981e-06,4.5152869631611116e-07
1.6014395392408902e-06,3.408263528308652e-06,6.604591094680262e-07,2.835420642206272e-06
1.8484649187436002e-06,2.4227853588686212e-06,1.799217762098211e-06,1.1622470521656105e-06
1.935339608636328e-06,6.267401490443098e-07,1.9363662934859443e-06,3.6703081816634555e-07
6.1555320681259e-07,2.833935220065707e-06,1.6511302198722235e-06,1.9638849450113e-06
-3.360027136292065e-07,2.7835911343313404e-06,1.0412476784469632e-06,2.5091488698556447e-06
2.658071700676088e-06,2.02320119486545e-06,1.6818695117477647e-06,1.022294296838635e-06
2.4843753460276146e-06,9.754847526312775e-07,2.98876098443453e-06,1.7279940570632282e-06
1.6635982881578698e-06,6.217110630460391e-07,1.2434621217343074e-06,8.495758270565504e-07
-3.4398810147012154e-07,2.106246257351167e-06,3.269634589138697e-07,3.874928590620144e-06
3.0701045213555e-07,3.265039510464106e-06,5.786844480123252e-07,2.305543149317697e-06
3.924747689220464e-06,2.1788071011057835e-07,3.748640464983932e-06,1.1198432135324904e-06
2.3101643114816748e-06,3.1928291496476858e-06,2.833227589288583e-06,2.54287329465245e-06
1.3938853267049133e-06,2.2625854542258394e-06,1.0624772028528716e-06,1.999408683676302e-06
1.7379646453128585e-06,2.5545490098492734e-06,1.447227937429281e-06,2.4892032254780154e-06
2.904539393886439e-06,1.6299567386265499e-06,2.292365011331844e-06,-9.066254983326604e-08
2.8833421410006267e-06,2.7303719150952297e-07,3.250291052515036e-06,7.558731401378733e-07
2.3411105501727742e-06,1.1156592470954202e-06,2.4316283974469066e-06,7.676224489032572e-07
1.855375372387098e-06,3.6945537257302935e-07,1.4962865169240695e-06,7.763134672200162e-07
-1.426116021722365e-07,3.003162308136417e-06,1.3838130198733165e-06,2.788424506208393e-06
2.442269837948937e-06,3.4697908203955427e-06,2.8998908478716413e-06,2.7489936855342988e-06
2.571764364352353e-06,2.4416956741130997e-06,2.959880118022577e-06,2.9831028365619483e-06
2.876606617864393e-06,1.4578366247516614e-06,3.260859202182114e-06,2.4607915717366767e-06
2.3571940062978237e-06,1.61211012473087e-06,5.583329810451535e-07,2.0261567256684918e-06
1.462223545938192e-06,1.837360538259256e-06,1.562002658322499e-06,2.4173234798343063e-07
1.3207877891678002e-06,2.603031760618792e-06,8.477196332071073e-07,3.2473572796220184e-07
8.282765040284696e-07,3.0605957391460538e-06,6.357872691252929e-07,2.7227135393058944e-06
1.937895141788626e-06,1.540729120406982e-06,2.142971295225768e-06,2.3458325933805476e-07
3.517026966268756e-06,2.4925694216972997e-07,3.0514626251857803e-06,1.4023855092116921e-08
3.332678285600097e-06,-2.8943516500084853e-08,3.6235317028669684e-06,1.937533497147995e-06
-1.0780168388525247e-07,2.2891411755075843e-06,1.574977540861655e-06,2.6155563481354614e-06
2.897208022831146e-06,1.1094311756079952e-06,3.049059701235876e-06,1.5120599494828204e-06
2.4993540541832307e-06,1.6593176483330299e-06,3.5012616182289244e-06,1.72687411713811e-06
8.031556594576434e-07,3.5677011243827577e-06,1.2413305516034206e-06,3.7548850336798672e-06
9.6712051014031e-07,2.3134806934554544e-06,1.1297683343225443e-06,1.6775957365700687e-06
2.949098362625128e-06,2.580090091082322e-06,2.0359520563420673e-06,2.634647630772459e-06
3.658155861674664e-07,2.3541267621408835e-06,1.5363485739256058e-06,1.8126030089347863e-06
8.415661005939997e-07,2.243338755017434e-06,2.034826410780852e-06,1.685934503595622e-06
2.3657028393316895e-06,1.7051829377565688e-06,1.4234939306947818e-06,2.846234176536405e-06
1.3687869625772644e-06,2.6798114481949385e-06,2.4691056206571767e-06,2.9737491077743994e-06
2.9537744719864163e-06,1.7158912639849957e-06,2.5314872811947983e-06,6.403916613092512e-07
