Anchor 1,Anchor 2,Anchor 3,Anchor 4
-136.2615479421873,-111.59301944987075,-137.42345659249224,-121.87997315619853
-126.67640453471954,-130.3250751263659,-129.16246595571818,-130.03820212109844
-125.61252783586141,-132.78855021947356,-124.97999427758774,-126.27625479183064
-137.53679191762453,-99.37427466210552,-138.25841192046994,-110.6199674465168
-129.8015816886217,-125.17185916480446,-131.73529563583767,-125.97405380617347
-139.32834209494862,-105.91242294206539,-140.00872932732716,-117.99595076520583
-112.3935896282647,-137.24288416953902,-117.26742859720281,-135.31835592648736
-124.87190554144114,-132.141602594712,-124.42948818472212,-125.4519363090524
-127.73670835155755,-122.04463993418892,-129.01504341549963,-113.57468060582707
-116.75141307500726,-130.8655675444962,-118.78560989306634,-125.84081318985248
-89.94512940218755,-135.78814870263864,-102.57118915180833,-132.52706760576982
-124.06884128799284,-127.50883949717677,-125.0540793427828,-119.872532159558
-132.37906340544626,-117.91965023481787,-133.8729410405403,-120.91508738508345
-129.56958464848123,-121.43121277113251,-130.43438080751662,-108.04125935038905
-89.74070888797183,-137.15543242655698,-81.95510378982874,-133.8314992594726
-96.70069051223075,-135.21178948975904,-106.26750573334797,-131.92319812429986
-138.6328299546896,-99.44077590129537,-139.36771479882196,-116.31629158526911
-133.9354850622913,-134.2776513138653,-135.6631728047649,-135.663401238945
-119.09948298273876,-134.37408118303938,-117.86450921692773,-129.11928323182764
-120.13861170143724,-131.64219035620988,-123.61468757436691,-129.7688567702233
-130.8149044102198,-122.27052761989151,-131.4157302407761,-107.13344427198152
-138.38385106869106,-102.20573724813848,-139.07746498297575,-114.20729782165232
-131.6090652556814,-114.23701238962535,-132.7295557342184,-105.82921774588019
-127.47643366389633,-122.34925919732547,-128.78658632605905,-114.186801287203
-103.63819234253337,-134.3187642947295,-108.69548591063904,-130.57428700705657
-133.2983843080342,-134.45466218254927,-135.0878140055459,-135.64430330161264
-135.41009268836234,-133.59528552844782,-136.9979445739262,-135.52695453766086
-134.90712280277194,-123.57384674747236,-136.3722464291655,-127.87516655130459
-128.03228324635967,-131.92003426076485,-127.59187188059622,-124.7574589787248
-130.3061100035286,-128.64274728568813,-130.3174108995771,-119.36128252311734
-117.89215582735396,-130.9247777307124,-119.25839876643352,-125.42700526818186
-118.7214331879067,-135.32677830187856,-122.57882876075884,-133.8487060000172
-128.60534681527432,-120.93510042183917,-129.79273152205334,-111.36389730159414
-135.65147399470237,-97.70621433908073,-136.50152070470534,-104.31709138706398
-139.07390849724635,-101.70089964174838,-139.818628907908,-118.40759042218133
-107.52523813627892,-136.67525007153588,-114.00225119732286,-134.42779995719042
-137.42113051732105,-107.86237893287213,-138.05512391442392,-108.14232094457236
-130.4249456904027,-128.22369704696064,-132.41497274109832,-129.34119470391096
-102.46734156961152,-138.3948113867975,-107.89126691089513,-135.97804497297966
-116.17303435110841,-134.2349661238756,-115.20914747393341,-129.22717814560215
-128.57723951980947,-133.04320770219618,-130.88691118341677,-133.25277335734626
-117.71460338226119,-135.17597891186227,-115.89731252165814,-130.26872394662
-122.44923120657431,-128.86644324189334,-123.40195156978227,-121.95138850910047
-127.89573975492003,-129.79606158311893,-130.21467686195047,-129.8957152988893
-124.43274816661688,-134.96237669634354,-127.30282089650188,-134.27008804589565
-134.46360477616696,-109.11050096960113,-135.25722145942137,-86.91064302492396
-125.62657208105456,-131.45132218784522,-128.29263397937402,-130.92881381215759
-123.27600172541247,-132.5278706428092,-126.32179345193698,-131.52961556946687
-120.3805701583809,-128.89581006339347,-123.16102649583556,-125.31108189816234
-129.5721716985405,-134.13247918308187,-128.77322400846214,-127.91084921749714
-134.5813185484385,-116.6155049984318,-135.1538288741001,-92.98418738680536
-127.13194333667415,-122.84002313355347,-128.45141393877867,-114.77640014329683
-117.76415749112189,-137.7652596106132,-121.38334711317235,-136.24945614643667
-132.01523320852374,-116.26980726424944,-133.45612204470936,-118.29105488027109
-122.60922752546959,-134.60253865500096,-121.31693324829156,-129.09015565252963
-120.24053073860257,-132.92372770080362,-119.78482707817238,-127.13865423522877
-133.62113393246022,-133.49439483612605,-135.37601667948002,-134.94562842313744
-133.8059083437662,-124.93679843921619,-135.39289745551508,-128.2284460544435
-109.23306094492995,-137.22644371597858,-114.90605641097807,-135.112075948059
-126.58520898568358,-134.39289932995825,-129.15512028529804,-134.0991438861235
-134.6931917201056,-130.3631558834379,-136.30877244150685,-132.80528187023546
-118.43747965933389,-134.16598985939595,-117.36211223722684,-128.9190372063362
-127.17984690602091,-125.06623091789179,-128.004802378305,-115.09037679700577
-134.0014490384081,-130.67396788443602,-135.68723685694107,-132.80282622723317
-133.30666465680935,-122.78569600089367,-133.67856157542963,-108.13419978014909
-114.79719136531516,-132.32890506151392,-116.13480538938974,-127.34482205276956
-128.50900867556595,-127.96344067108586,-128.7051733907561,-118.50908723172942
-121.34515784776912,-137.4345521119726,-124.47809503315824,-136.2754623737638
-129.9608156718981,-122.35042019936976,-131.74620883219916,-122.85506696869194
-136.70330085852174,-111.24537368699664,-137.83212240157124,-122.24314770596902
-120.28897188565614,-138.46183819988715,-123.3301997706078,-137.14718594406872
-114.60101285802696,-131.3981160623453,-117.69408708152481,-127.1507258419538
-120.2255229813886,-135.54819080746432,-118.31498209906295,-130.55250181302205
-122.88035114228498,-129.0210032074141,-125.69000242338976,-127.02584713774918
-129.7037113825131,-129.9218806628773,-129.5675557857272,-121.5160427185893
-117.51662213994484,-137.8867385140711,-121.13650471605725,-136.34707929374957
-130.24458067172105,-122.44656046852513,-130.89979298430157,-108.11015468415829
-121.06619689028602,-138.86528053316522,-123.89349960048122,-137.5986993708833
-131.2117835802973,-126.88234280497633,-133.08325931340562,-128.46707016962506
-133.2028999831941,-108.78846843651105,-134.2570096812866,-105.09046661485905
-129.45557930027027,-119.05012923705729,-130.9302238096834,-115.0927799110279
-124.1533704992505,-128.9462114404634,-126.84027247504184,-127.48383906067215
-136.73583909415322,-97.13009847403347,-137.50275114507892,-107.39651702951
-119.07278288801905,-132.4823204496028,-119.02330852031484,-126.76467617816927
-133.7828969984061,-118.7281058103777,-134.32773201368644,-97.00117374754939
-93.26600846498069,-138.33326150246415,-92.1354663737122,-135.464431915227
-109.35779260118382,-133.144415888054,-112.94084640991412,-129.07481382230492
-96.18267872997461,-135.55519500381527,-107.1412195200351,-132.52367447397114
-117.41726935236471,-132.6408140334448,-121.46189464839337,-130.50755216375794
-117.01432386958086,-139.39609865562005,-119.93622235436047,-137.73276565795499
-117.1815783213911,-134.19766301431122,-116.15964407058019,-129.0833238850351
-134.97249738734638,-133.26797059152074,-136.59775049454294,-135.14662358142795
-131.56771423713622,-114.37489583872491,-132.6862074931998,-105.74044189271316
-126.00712500014431,-132.72956555516913,-128.65337733455647,-132.34589170421705
-109.44004675349063,-133.0258257239454,-113.5252113748148,-129.1119649539741
-137.62604926879652,-91.39631477036195,-138.39978458902013,-112.71731835827393
-129.27864170428703,-133.75428900970815,-131.5052119163665,-134.072075112273
-122.15296118863463,-128.41422019713875,-123.40078121525977,-121.77739028573856
-134.45386057706065,-128.02008913034473,-136.04961090397677,-130.91727817543142
-132.67237218130498,-132.61268118576052,-134.51540817328123,-133.95571948385592
